Employee #,Last Name,First Name,Birthday,Phone Number,SSS #,PhilHealth #,TIN #,Pag-IBIG #,Status,Position,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Immediate Supervisor,Address
10001,Garcia,Manuel III,10/11/1983,966-860-270,44-4506057-3,820126853951,442-605-657-000,691295330870,Regular,Chief Executive Officer,90000.00,1500.00,2000.00,1000.00,45000.00,536.00,N/A,Valero Carpark Building Valero Street 1227 Makati City
10002,Lim,Antonio,6/19/1988,171-867-411,52-2061274-9,331735646338,683-102-776-000,663904995411,Regular,Chief Operating Officer,60000.00,1500.00,2000.00,1000.00,30000.00,357.00,Manuel Garcia III,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite
10003,Aquino,Bianca Sofia,8/4/1989,966-889-370,30-8870406-2,177451189665,971-711-280-000,171519773969,Regular,Chief Finance Officer,60000.00,1500.00,2000.00,1000.00,30000.00,357.00,Manuel Garcia III,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City
10004,Reyes,Isabella,6/16/1994,786-868-477,40-2511815-0,341911411254,876-809-437-000,416946776041,Regular,Chief Marketing Officer,60000.00,1500.00,2000.00,1000.00,30000.00,357.00,Manuel Garcia III,460 Solanda Street Intramuros 1000 Manila
10005,Hernandez,Eduard,9/23/1989,088-861-012,50-5577638-1,957436191812,031-702-374-000,952347222457,Regular,IT Operations and Systems,52670.00,1500.00,1000.00,1000.00,26335.00,314.00,Antonio Lim,National Highway Gingoog  Misamis Occidental
10006,Villanueva,Andrea Mae,2/14/1988,918-621-603,49-1632020-8,382189453145,317-674-022-000,441093369646,Regular,HR Manager,52670.00,1500.00,1000.00,1000.00,26335.00,314.00,Antonio Lim,17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands
10007,San Jose,Brad,3/15/1996,797-009-261,40-2400714-1,239192926939,672-474-690-000,210850209964,Regular,HR Team Leader,42975.00,1500.00,800.00,800.00,21488.00,256.00,Andrea Mae Villanueva,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi
10008,Romualdez,Alice,5/14/1992,983-606-799,55-4476527-2,545652640232,888-572-294-000,211385556888,Regular,HR Rank and File,22500.00,1500.00,500.00,500.00,11250.00,134.00,Brad San Jose,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte
10009,Atienza,Rosie,9/24/1948,266-036-427,41-0644692-3,708988234853,604-997-793-000,260107732354,Regular,HR Rank and File,22500.00,1500.00,500.00,500.00,11250.00,134.00,Brad San Jose,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte
10010,Alvaro,Roderick,3/30/1988,053-381-386,64-7605054-4,578114853194,525-420-419-000,799254095212,Regular,Accounting Head,52670.00,1500.00,1000.00,1000.00,26335.00,314.00,Bianca Sofia Aquino,#284 T. Morato corner Scout Rallos Street Quezon City
10011,Salcedo,Anthony,9/14/1993,070-766-300,26-9647608-3,126445315651,210-805-911-000,218002473454,Regular,Payroll Manager,50825.00,1500.00,1000.00,1000.00,25413.00,303.00,Roderick Alvaro,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate
